**** DÉBUT DU JOURNAL À Tue May  1 18:29:18 2007

mai 01 18:30:13 *	tiav est parti (Success)
jun 17 19:32:09 *	Laifen (n=xavier@APlessis-Bouchard-153-1-100-211.w86-212.abo.wanadoo.fr) a rejoint #Debian-fr
jun 17 19:32:20 *	lambda est parti ("Oh god ! I've got a giant squid runing around an office.")
jun 17 19:32:22 *	Laifen est parti (Read error: 104 (Connection reset by peer))
jun 17 19:32:59 *	lambda (n=lambda@88-137-35-201.adslgp.cegetel.net) a rejoint #debian-fr
jun 17 19:32:59 *	Laifen (n=xavier@APlessis-Bouchard-153-1-100-211.w86-212.abo.wanadoo.fr) a rejoint #Debian-fr
jun 17 19:41:03 *	Laifen est parti ("Parti")
jun 17 19:41:44 *	Laifen (n=xavier@APlessis-Bouchard-153-1-100-211.w86-212.abo.wanadoo.fr) a rejoint #Debian-fr
jun 17 19:43:11 <c-moi>	re
jun 17 19:43:59 *	iip2 est parti ("quit")
jun 17 19:59:50 *	ubitux (n=ubitux@did75-15-88-160-187-174.fbx.proxad.net) a rejoint #debian-fr
jun 17 19:59:52 <ubitux>	salut
jun 17 20:00:32 <TrueDD>	Salut ubitux
jun 17 20:09:26 <ubitux>	je pige pas pourquoi je n'ai pas les droits d'écritures en tant que user dans /var/www/
jun 17 20:09:35 <ubitux>	je fais parti du groupe www-data
jun 17 20:09:40 <ubitux>	je me suis relogué
jun 17 20:09:49 <ubitux>	drwxr-xr-x  3 www-data www-data 4096 2007-06-16 07:29 www
jun 17 20:09:55 <ubitux>	et j'ai ceci comme droits
jun 17 20:09:59 <Yoda-BZH>	t'as pas w
jun 17 20:10:09 <Yoda-BZH>	donc tu peux pas écrire
jun 17 20:10:18 <jaroug>	*affli*
jun 17 20:10:24 <ubitux>	ah
jun 17 20:10:26 <ubitux>	ah oui
jun 17 20:10:27 <ubitux>	xD
jun 17 20:10:30 <ubitux>	:$
jun 17 20:10:33 <ubitux>	merci Yoda-BZH
jun 17 20:10:35 <ubitux>	=)
jun 17 20:10:53 <kolter>	*pitoya*
jun 17 20:14:34 *	algot est parti ("Leaving")
jun 17 20:15:09 *	tite (n=paradise@d83-180-74-160.cust.tele2.ch) a rejoint #debian-fr
jun 17 20:22:57 *	julius est parti (Connection reset by peer)
jun 17 20:27:26 *	girafe est parti (Read error: 110 (Connection timed out))
jun 17 20:30:48 *	girafe (n=girafe@ip-87.net-82-216-249.rev.numericable.fr) a rejoint #debian-fr
jun 17 20:31:12 <ubitux>	tiens on a pas de php5-fastcgi ?
jun 17 20:33:36 <kolter>	cherche encore
jun 17 20:34:52 <ubitux>	kolter, indépendamment de apache
jun 17 20:36:48 *	Moi123 (n=yanis@77.199.205.8) a rejoint #debian-fr
jun 17 20:42:12 *	yoan (n=yoan@AClermont-Ferrand-157-1-27-78.w86-193.abo.wanadoo.fr) a rejoint #debian-fr
jun 17 20:43:37 *	yoan est parti (Client Quit)
jun 17 20:44:43 *	Oxylin est parti ("Ex-Chat")
jun 17 21:55:05 *	tamiel est parti ("Quitte")
jun 17 21:59:05 *	Laifen est parti ("Parti")
jun 17 22:00:28 *	Nanthrax est parti ("WeeChat 0.2.4")
jun 17 22:04:18 *	ronan (n=ronan@ARennes-257-1-25-94.w81-53.abo.wanadoo.fr) a rejoint #debian-fr
jun 17 22:05:47 <ubitux>	(Juppé owned)
jun 17 22:05:49 <ubitux>	x)
jun 17 22:08:30 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
jun 17 22:09:24 <pikapika>	yo
jun 17 22:09:24 <ronan>	plop pikapika :)
jun 17 22:13:00 <pikapika>	:)
jun 17 22:14:11 *	ronan (n=ronan@ARennes-257-1-25-94.w81-53.abo.wanadoo.fr) a quitté #debian-fr ("Konversation terminated!")
jun 17 22:16:07 *	P_Kable est parti (Remote closed the connection)
jun 17 22:20:59 *	digits (n=digits@carriere2.rez-gif.supelec.fr) a rejoint #debian-fr
jun 17 22:23:05 *	UnMus (n=domi@88-136-236-37.adslgp.cegetel.net) a rejoint #debian-fr
jun 17 22:23:55 *	Thom1 (n=lenny@dyn-91-165-213-237.ppp.tiscali.fr) a rejoint #debian-fr
jun 17 22:24:07 *	jeanseb est parti ("Leaving")
jun 17 22:25:28 *	UnMus est parti (Client Quit)
jun 17 22:29:57 *	digits est parti (Read error: 104 (Connection reset by peer))
jun 17 22:37:43 *	Thom1_ est parti (Read error: 110 (Connection timed out))
jun 17 22:40:22 *	Zarla est parti ("RMS President !")
jun 17 22:42:36 *	clemux est parti ("leaving")
jun 17 22:49:42 *	girafe est parti (Read error: 54 (Connection reset by peer))
jun 17 22:51:23 *	LaFolle2000 (i=LaFolle2@pat35-3-82-245-142-126.fbx.proxad.net) a rejoint #debian-fr
jun 17 22:53:04 <LaFolle2000>	salut les pingouins
jun 17 22:54:32 *	LaFolle2000 s'appelle maintenant L4M3R5-23CT10N
jun 17 22:54:58 *	ChanServ donne l'état d'opérateur de canal à tioui
jun 17 22:55:12 <Gniarf>	hi hi
jun 17 22:55:23 <L4M3R5-23CT10N>	^^
jun 17 22:57:31 *	Greg est parti ("Parti")
jun 17 22:58:06 <L4M3R5-23CT10N>	nick 80U13T
jun 17 22:58:11 <L4M3R5-23CT10N>	oO
jun 17 22:58:55 *	L4M3R5-23CT10N s'appelle maintenant Too4You
jun 17 23:04:05 *	rgaidot (n=rgaidot@LSt-Amand-152-32-42-153.w82-127.abo.wanadoo.fr) a rejoint #debian-fr
jun 17 23:04:59 *	krionux est parti ("leaving")
jun 17 23:06:41 *	rgaidot est parti (Client Quit)
jun 17 23:10:46 *	ubitux est parti ("Quitte")
jun 17 23:10:52 *	hardcoffee (n=hardcoff@APoitiers-157-1-31-35.w83-193.abo.wanadoo.fr) a rejoint #debian-fr
jun 17 23:12:22 <Too4You>	debian c'estbien en abuser c'est bien
jun 17 23:14:29 <tioui>	tu pourrais fermer ta gueule ?
jun 17 23:14:46 <Too4You>	mais apres toi mon bon seigneur
jun 17 23:15:01 *	tioui met un ban sur %Too4You!*@*
jun 17 23:15:23 <tioui>	voila
jun 17 23:15:45 *	Too4You (i=LaFolle2@pat35-3-82-245-142-126.fbx.proxad.net) a quitté #debian-fr
jun 17 23:16:14 *	tioui supprime l'état de bannissement de %Too4You!*@*
**** DÉBUT DU JOURNAL À Wed Jun 20 19:48:13 2007

jun 20 19:48:13 *	Vous parlez maintenant sur #debian-fr
jun 20 19:48:13 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, voyez #debianfr || Merci de parler correctement francais pas de sms, lol et autres kikoo. || Ubuntu et Debian c'est different, ne vous trompez pas de canal || Ce n'est pas l'Armee du Salut ici, avant de poser une question, CHERCHEZ UN PEU || faire chier ici ou ailleurs est un motif de ban. et un bon, en plus !
jun 20 19:48:13 *	Sujet de #debian-fr défini par Gniarf le Sat Apr 14 21:17:07 2007
jun 20 19:48:13 *	#debian-fr :[freenode-info] channel trolls and no channel staff around to help? please check with freenode support: http://freenode.net/faq.shtml#gettinghelp
jun 20 19:55:01 *	Theos (n=micky@df01t2-212-194-227-14.d4.club-internet.fr) a rejoint #debian-fr
jun 20 19:56:22 *	cqst (n=unix@ras75-4-82-229-152-200.fbx.proxad.net) a rejoint #debian-fr
jun 20 19:57:55 *	Zarla (n=fmb@gwenola.sceen.net) a rejoint #debian-fr
jun 20 20:02:49 *	twen (n=twen@174.159.100-84.rev.gaoland.net) a rejoint #debian-fr
jun 20 20:12:19 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 20 20:22:21 *	Buntix est parti (Read error: 110 (Connection timed out))
jun 20 20:22:49 *	Buntix (n=buntix@ALille-151-1-41-24.w83-198.abo.wanadoo.fr) a rejoint #debian-fr
jun 20 20:23:26 *	EtAlors (n=bad@gob75-7-82-247-115-200.fbx.proxad.net) a rejoint #debian-fr
jun 20 20:27:46 *	bohan (n=bohan@retropaganda.info) a rejoint #debian-fr
jun 20 20:29:25 <bohan>	hi, i'm using exim on etch, and during package configuration, i chose to have mails delivered to Maildirs in users' homedirs. Despite of this setting, exim still deliver mails as mailbox files in /var/mail/<username>. Is it the normal behaviour or a configuration problem?
jun 20 20:30:21 <Gniarf>	tout d'abord, bonjour !
jun 20 20:30:22 *	sputnick (n=sputnick@unaffiliated/sputnick) a rejoint #debian-fr
jun 20 20:30:26 <bohan>	argh. désolé, c'est pas la bon canal
jun 20 20:30:41 <bohan>	bonjour Gniarf :)
jun 20 20:31:28 <bohan>	ha, je crois que je t'es déjà rencontré sur #colinux
jun 20 20:31:36 <bohan>	*es/ai
jun 20 20:32:05 <Gniarf>	il y a longtemps alors
jun 20 20:32:34 <bohan>	heu, oui, 2 ans peut-être
jun 20 20:32:52 <bohan>	mais un nom comme ça, ça ne s'oublie pas :)
jun 20 20:35:04 *	bohan s'en va poser sa question à un endroit plus propice
jun 20 20:36:23 *	tiav est parti (Read error: 104 (Connection reset by peer))
jun 20 20:36:54 *	tiavv (n=tiav@ram94-3-82-225-11-215.fbx.proxad.net) a rejoint #debian-fr
jun 20 20:38:17 *	algot (n=algot@201-67-191-180.jvece702.dsl.brasiltelecom.net.br) a rejoint #debian-fr
jun 20 20:47:02 <bohan>	aurevoir
jun 20 20:47:05 *	bohan (n=bohan@retropaganda.info) a quitté #debian-fr
jun 20 20:47:26 <ptitlouis>	il se prend pour VGE ?
jun 20 20:55:08 *	zartche (n=zartche@tou86-2-88-163-97-45.fbx.proxad.net) a rejoint #debian-fr
jun 20 21:07:00 *	UnMus (n=domi@88-136-180-16.adslgp.cegetel.net) a rejoint #debian-fr
jun 20 21:07:09 *	twen est parti ("Leaving")
jun 20 21:10:16 <UnMus>	Bonsoir
jun 20 21:19:57 *	Laifen est parti ("Parti")
jun 20 21:33:16 *	XwZ (n=XwZ@dyn-91-165-36-234.ppp.tiscali.fr) a rejoint #debian-fr
jun 20 21:33:51 <XwZ>	'lut tout le monde
jun 20 21:34:35 *	reno (n=reno@d83-177-238-210.cust.tele2.fr) a rejoint #debian-fr
jun 20 21:35:35 *	mardi_soir est parti (Remote closed the connection)
jun 20 21:36:25 *	reno est parti (Client Quit)
jun 20 21:36:53 *	algot est parti ("Leaving")
jun 20 21:39:50 *	krionux est parti ("leaving")
jun 20 21:47:34 *	Zword est parti (Read error: 104 (Connection reset by peer))
jun 20 21:51:46 *	lambda (n=lambda@88-137-32-227.adslgp.cegetel.net) a rejoint #debian-fr
jun 20 21:52:17 *	seb_brice (n=lambda@88-137-32-227.adslgp.cegetel.net) a rejoint #debian-fr
jun 20 21:52:27 *	seb_brice est parti (Read error: 104 (Connection reset by peer))
jun 20 21:53:03 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
jun 20 21:53:21 <TrueDD>	Salut à tous
jun 20 21:54:56 <sputnick>	lut
jun 20 21:55:55 <TrueDD>	lu sputnick
jun 20 21:59:25 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 20 22:01:17 *	JuLiiieN (n=Jul@AVelizy-152-1-17-92.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
jun 20 22:07:35 *	UnMus est parti ("Connexion reset by beer")
jun 20 22:12:18 *	parisbynight (n=grominet@vol75-13-88-166-26-9.fbx.proxad.net) a rejoint #debian-fr
jun 20 22:12:47 *	exd est parti ()
jun 20 22:24:33 *	EtAlors est parti ("Sauve tes fesses, ta tete suivra !")
jun 20 22:25:13 <jnjb>	sl TrueDD
jun 20 22:25:23 <TrueDD>	Salut jnjb :)
jun 20 22:25:25 <TrueDD>	ça va ?
jun 20 22:25:42 <jnjb>	bof chaleure etoufante
jun 20 22:26:24 <TrueDD>	ouai
jun 20 22:26:43 <TrueDD>	je crois que le pire est à venir
jun 20 22:27:04 *	XwZ est parti (Read error: 110 (Connection timed out))
jun 20 22:31:47 *	mardi_ (n=mardi_so@AReims-157-1-33-101.w86-208.abo.wanadoo.fr) a rejoint #debian-fr
jun 20 22:32:52 *	mardi_soir est parti (Nick collision from services.)
jun 20 22:33:02 *	mardi_ s'appelle maintenant mardi_soir
jun 20 22:38:58 <parisbynight>	salut a tous
jun 20 22:40:58 <jnjb>	TrueDD: parle pas de malheur
jun 20 22:42:53 <TrueDD>	du malheur, n'exagérons rien, c'est du soleil quoi
jun 20 22:42:55 <TrueDD>	:)
jun 20 22:44:43 <jnjb>	si c'est pour tomber dans les pommes
jun 20 22:45:00 <jnjb>	sa m'est deja arriver a cause de la chaleure
jun 20 22:47:09 <TrueDD>	il faut boire beaucoup et se couvrir la tête
jun 20 22:48:47 <florent>	#debian-hospice-fr
jun 20 22:56:53 *	florent est parti ("Avant j'étais schizophrène. Maintenant nous allons mieux !")
jun 20 23:00:46 *	florent (n=florent@pluton.sarcelle.net) a rejoint #debian-fr
jun 20 23:00:57 *	Moi123 est parti (Remote closed the connection)
jun 20 23:05:51 *	pikapika est parti (Remote closed the connection)
**** FIN DU JOURNAL À Wed Jun 20 23:06:42 2007

**** DÉBUT DU JOURNAL À Thu Jun 21 18:10:45 2007

jun 21 18:10:45 *	Vous parlez maintenant sur #debian-fr
jun 21 18:10:45 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, voyez #debianfr || Merci de parler correctement francais pas de sms, lol et autres kikoo. || Ubuntu et Debian c'est different, ne vous trompez pas de canal || Ce n'est pas l'Armee du Salut ici, avant de poser une question, CHERCHEZ UN PEU || faire chier ici ou ailleurs est un motif de ban. et un bon, en plus !
jun 21 18:10:45 *	Sujet de #debian-fr défini par Gniarf le Sat Apr 14 21:17:07 2007
jun 21 18:11:18 *	rev_jazZ est parti ("Quitte")
jun 21 18:15:32 *	Theos (n=micky@df01t2-212-194-229-124.d4.club-internet.fr) a rejoint #debian-fr
jun 21 18:16:20 *	Renault (n=couretca@AToulon-151-1-175-125.w90-0.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 18:18:52 *	yoan est parti ()
jun 21 18:21:56 *	Thom1_ (n=lenny@dyn-91-165-194-143.ppp.tiscali.fr) a rejoint #debian-fr
jun 21 18:33:44 *	Thom1 est parti (Read error: 110 (Connection timed out))
jun 21 18:35:45 *	cpasmoi_ (n=cpasmoi@82.64.176.211) a rejoint #debian-fr
jun 21 18:48:29 *	c-moi est parti (Nick collision from services.)
jun 21 18:48:33 *	cpasmoi_ s'appelle maintenant c-moi
jun 21 18:49:05 *	yoan (n=yoan@82.254.23.205) a rejoint #debian-fr
jun 21 18:55:04 *	Zmanu (n=manu@ANancy-152-1-75-16.w86-204.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 18:55:11 *	Zmanu (n=manu@ANancy-152-1-75-16.w86-204.abo.wanadoo.fr) a quitté #debian-fr
jun 21 19:07:02 *	florent (n=florent@pluton.sarcelle.net) a rejoint #debian-fr
jun 21 19:09:11 *	hardcoffee (n=hardcoff@APoitiers-157-1-168-172.w86-213.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 19:17:14 *	hardcoffee__ (n=hardcoff@APoitiers-157-1-168-172.w86-213.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 19:17:56 *	hardcoffee__ est parti (Client Quit)
jun 21 19:17:59 *	hardcoffee est parti ("Parti")
jun 21 19:19:20 *	hardcoffee__ (n=hardcoff@APoitiers-157-1-168-172.w86-213.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 19:20:38 *	hardcoffee__ est parti (Client Quit)
jun 21 19:20:51 *	hardcoffee (n=hardcoff@APoitiers-157-1-168-172.w86-213.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 19:21:05 *	hardcoffee est parti (Read error: 104 (Connection reset by peer))
jun 21 19:21:53 *	ReNo (n=reno@d83-177-238-210.cust.tele2.fr) a rejoint #debian-fr
jun 21 19:21:54 *	hardcoffee (n=hardcoff@APoitiers-157-1-168-172.w86-213.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 19:23:08 *	girafe (n=girafe@ip-202.net-81-220-158.grenoble.rev.numericable.fr) a rejoint #debian-fr
jun 21 19:26:02 *	ReNo est parti ("Leaving.")
jun 21 19:29:46 *	ReNo (n=reno@d83-177-238-210.cust.tele2.fr) a rejoint #debian-fr
jun 21 19:29:59 *	ReNo (n=reno@d83-177-238-210.cust.tele2.fr) a quitté #debian-fr
jun 21 19:43:18 *	yoan est parti ()
jun 21 19:51:12 *	cqst (n=unix@ras75-4-82-229-152-200.fbx.proxad.net) a rejoint #debian-fr
jun 21 19:58:25 *	oxylin (n=jpeeters@chv78-2-88-161-189-78.fbx.proxad.net) a rejoint #debian-fr
jun 21 20:03:26 *	nfriedli (n=nfriedli@182-215.2-85.cust.bluewin.ch) a rejoint #debian-fr
jun 21 20:11:55 *	clemux est parti ("leaving")
jun 21 20:12:31 *	clemux (n=clemux@81.56.237.44) a rejoint #debian-fr
jun 21 20:12:44 *	Shisui (n=shisui@AAmiens-152-1-49-127.w83-198.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 20:13:06 *	girafe est parti ("Quitte")
jun 21 20:17:11 *	ayeuu (i=ayeuu@nat/af83/x-be9182363726373b) a rejoint #debian-fr
jun 21 20:22:52 *	Laifen (n=xavier@APlessis-Bouchard-153-1-24-90.w83-200.abo.wanadoo.fr) a rejoint #Debian-fr
jun 21 20:23:45 *	buntix_ (n=buntix@ALille-151-1-21-23.w82-127.abo.wanadoo.fr) a rejoint #debian-fr
jun 21 20:23:48 *	Buntix est parti (Read error: 110 (Connection timed out))
jun 21 20:35:07 *	jenipapo (n=chf@mir31-2-82-227-180-36.fbx.proxad.net) a rejoint #debian-fr
jun 21 20:55:18 *	UnMus (n=domi@88-136-180-16.adslgp.cegetel.net) a rejoint #debian-fr
jun 21 20:56:00 <UnMus>	Bonsoir
jun 21 21:02:42 *	guiton (n=guiton@81.56.199.42) a rejoint #debian-fr
jun 21 21:03:14 <guiton>	salut !
jun 21 21:04:00 <guiton>	je cherche quelqu'un qui utilise 3ddesktop
jun 21 21:06:34 *	nfriedli (n=nfriedli@182-215.2-85.cust.bluewin.ch) a quitté #debian-fr ("Quitte")
jun 21 21:06:36 <mardi_soir>	guiton, c'ets has been ca a l'epoque de beryl/compiz
jun 21 21:06:44 <mardi_soir>	super constructif je sais
jun 21 21:09:05 <guiton>	comment ça marche ??
jun 21 21:09:19 <guiton>	je l'ai installé avec synaptic
jun 21 21:09:30 <guiton>	je le trouve nul part
jun 21 21:12:24 <guiton>	mardi_soir ??
jun 21 21:12:47 <guiton>	comment je fais pour tester ?
jun 21 21:12:58 <mardi_soir>	guiton, quoi ca ?
jun 21 21:13:16 <guiton>	3ddesktop
jun 21 21:13:25 <guiton>	pour voir ce que ça donne !
jun 21 21:13:32 <mardi_soir>	il y a un deamon
jun 21 21:13:39 <mardi_soir>	lance une console
jun 21 21:13:45 <mardi_soir>	et 3d + tab tab
jun 21 21:13:56 <mardi_soir>	ca lance un programme en fond
jun 21 21:14:02 <mardi_soir>	et ensuite tu te creer un bouton
jun 21 21:14:09 <mardi_soir>	avec la commande 3ddesktop
jun 21 21:14:21 <mardi_soir>	un truc du genre
jun 21 21:14:29 <mardi_soir>	c'etait le cas il y a deux ans
jun 21 21:15:13 <guiton>	excellent !!!!!!!!!
jun 21 21:15:15 <guiton>	merci !!!
jun 21 21:16:08 <mardi_soir>	guiton, regarde a propos de beryl/compiz dans google youtube dailymotion
jun 21 21:16:17 <mardi_soir>	c'ets du pipi de chat a coté
jun 21 21:16:49 <mardi_soir>	guiton,  http://www.youtube.com/watch?v=ZD7QraljRfM
jun 21 21:19:19 *	oxylin est parti ("Ex-Chat")
jun 21 21:21:01 <guiton>	merci pour ton aide mardi_soir ;D
jun 21 21:29:46 <guiton>	j'ai installé compiz
jun 21 21:30:03 <guiton>	comment ça marche mardi_soir ??
jun 21 21:34:02 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
jun 21 21:34:22 <TrueDD>	Salut à tous
jun 21 21:34:26 *	mirak (n=mirak@m60.net81-64-221.noos.fr) a rejoint #debian-fr
jun 21 21:34:27 *	jenipapo2 (n=chf@mir31-2-82-227-180-36.fbx.proxad.net) a rejoint #debian-fr
jun 21 21:34:29 <guiton>	salut !
jun 21 21:36:13 *	jenipapo2 est parti (Remote closed the connection)
jun 21 21:39:51 *	ReNo (n=reno@d83-177-238-210.cust.tele2.fr) a rejoint #debian-fr
jun 21 21:39:58 *	ReNo (n=reno@d83-177-238-210.cust.tele2.fr) a quitté #debian-fr
jun 21 21:41:40 *	call (n=gabriel@c9069b1c.static.spo.virtua.com.br) a rejoint #debian-fr
jun 21 21:42:12 <guiton>	quelqu'un pourrait m'aider a propos de compiz ??
jun 21 21:47:36 *	Shisui est parti (Remote closed the connection)
jun 21 21:49:57 *	jenipapo est parti (Read error: 110 (Connection timed out))
jun 21 21:51:38 *	JuLiiieN est parti ("Quitte")
jun 21 21:53:25 *	cqst est parti ("Leaving")
jun 21 21:54:11 *	zartche (n=zartche@tou86-2-88-163-97-45.fbx.proxad.net) a rejoint #debian-fr
jun 21 21:59:59 *	UnMus est parti ("Connexion reset by beer")
jun 21 22:12:03 *	ayeuu est parti (Remote closed the connection)
jun 21 22:13:32 *	zartche est parti (Remote closed the connection)
jun 21 22:15:00 *	lambda_roxxxxxxx s'appelle maintenant lambda
jun 21 22:21:57 *	arnaudJ (n=arnaud@mic92-12-88-161-109-94.fbx.proxad.net) a rejoint #debian-fr
jun 21 22:22:03 *	guiton (n=guiton@81.56.199.42) a quitté #debian-fr ("Parti")
jun 21 22:25:37 *	girafe (n=girafe@ip-202.net-81-220-158.grenoble.rev.numericable.fr) a rejoint #debian-fr
jun 21 22:29:17 *	Laifen est parti ("Parti")
jun 21 22:33:13 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
jun 21 22:33:55 <pikapika>	yo
jun 21 22:43:41 <kolter>	p
jun 21 22:44:17 <pikapika>	la
jun 21 22:44:19 <pikapika>	boum
jun 21 22:52:02 *	jenipapo (n=chf@mir31-2-82-227-180-36.fbx.proxad.net) a rejoint #debian-fr
jun 21 22:57:26 <mickey08>	hop
jun 21 22:57:26 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
jun 21 23:04:28 *	krifur (n=krifur@80-44-197-94.dynamic.dsl.as9105.com) a rejoint #debian-fr
jun 21 23:05:14 *	Theos_ (n=micky@df01t2-212-195-193-201.d4.club-internet.fr) a rejoint #debian-fr
jun 21 23:06:45 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - Un message qu'on pense pas à vérifier souvent ...")
jun 21 23:08:14 *	jenipapo est parti (Remote closed the connection)
jun 21 23:21:40 *	Theos est parti (Read error: 110 (Connection timed out))
jun 21 23:27:53 *	girafe est parti ("Quitte")
jun 21 23:30:58 *	Theos_ est parti ("Parti")
jun 21 23:33:08 *	keulin (n=cray@ifth-pdcr2.infotheme.fr) a rejoint #debian-fr
jun 21 23:48:32 *	lambda est parti (Read error: 110 (Connection timed out))
jun 21 23:49:39 *	lambda (n=lambda@88-137-37-150.adslgp.cegetel.net) a rejoint #debian-fr
jun 21 23:53:43 *	call est parti ("Saindo")
jun 22 00:01:05 *	krifur est parti ("haaaaaa")
jun 22 00:18:30 *	Thom1_ est parti (Read error: 110 (Connection timed out))
jun 22 00:22:33 *	TrueDD est parti ("Leaving")
jun 22 00:34:59 *	florent est parti ("Avant j'étais schizophrène. Maintenant nous allons mieux !")
jun 22 00:51:38 *	drkvg (i=e0c0f4db@pepin.poivron.org) a rejoint #debian-fr
jun 22 00:51:39 <drkvg>	toc
jun 22 00:51:44 <manuel>	tac
jun 22 00:51:53 *	manuel tapotte ptitlouis 
jun 22 00:51:53 <drkvg>	dites, des gens utilisent ProFTPd dans un vserver, par ici?
jun 22 01:09:58 *	Renault est parti ("Quitte")
jun 22 01:11:43 *	guiton (n=guiton@81.56.199.42) a rejoint #debian-fr
jun 22 01:12:09 <guiton>	bonsoir !
jun 22 01:12:29 *	zartche (n=zartche@tou86-2-88-163-97-45.fbx.proxad.net) a rejoint #debian-fr
jun 22 01:13:03 <guiton>	j'ai un probleme avec beryl
jun 22 01:13:17 <guiton>	quelqu'un peut il m'aider ??
jun 22 01:19:56 *	Thom1 (n=lenny@dyn-91-165-206-94.ppp.tiscali.fr) a rejoint #debian-fr
jun 22 01:24:18 *	zartche est parti ("Konversation terminated!")
jun 22 01:24:55 *	zartche (n=zartche@tou86-2-88-163-97-45.fbx.proxad.net) a rejoint #debian-fr
jun 22 01:31:34 *	mirak est parti ("Ex-Chat")
jun 22 01:32:22 *	HellDragon (i=JD@unaffiliated/helldragon) a rejoint #debian-fr
jun 22 01:40:07 *	guiton est parti ("Parti")
jun 22 01:47:40 *	ptitlouis tapotte manuel
jun 22 01:50:03 *	Thom1_ (n=lenny@dyn-91-165-219-21.ppp.tiscali.fr) a rejoint #debian-fr
jun 22 01:51:03 *	zartche est parti (Remote closed the connection)
jun 22 01:53:22 *	pikapika est parti ("bye")
jun 22 01:57:38 *	HellDragon est parti (Client Quit)
jun 22 02:04:15 *	Thom1 est parti (Read error: 110 (Connection timed out))
jun 22 02:14:54 *	ayeuu (n=ayeuu@tss37-1-82-228-161-185.fbx.proxad.net) a rejoint #debian-fr
jun 22 02:28:22 *	lambda est parti (Remote closed the connection)
jun 22 02:43:33 *	barbo est parti (Read error: 110 (Connection timed out))
jun 22 02:44:37 *	kartooon est parti (Read error: 113 (No route to host))
jun 22 03:08:07 *	c-moi tend une pelle
jun 22 03:33:21 *	Gniarf fracasse le crane de c-moi avec une pelle
jun 22 03:33:59 *	Gniarf est parti ("This computer has gone to sleep")
jun 22 04:43:55 *	sputnick est parti ("bip...bip...bip...bip...KrRsSsSh!...beep...beep...beep...beep...beep...beep...")
jun 22 05:49:35 *	Yoda-BZH (n=yoda-bzh@solene.yoda-bzh.net) a rejoint #debian-fr
jun 22 05:50:43 *	Thom1 (n=lenny@dyn-91-165-219-21.ppp.tiscali.fr) a rejoint #debian-fr
jun 22 06:01:53 *	mickey08 (n=michael@AReims-151-1-97-59.w86-198.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 06:02:24 *	Thom1_ est parti (Read error: 110 (Connection timed out))
jun 22 06:02:50 <mickey08>	bonjour
jun 22 06:13:32 <mickey08>	hop
jun 22 06:13:32 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
jun 22 07:25:57 <yodaz>	http://www.liberation.fr/actualite/instantanes/hommedujour/262667.FR.php
jun 22 07:26:04 <yodaz>	forrest rentre à la maison
jun 22 07:28:30 <Madvax>	Figure de l.internet, Loïc Le Meur, 35 ans, va créer la «première chaîne vidéo entièrement réalisée avec l.apport de milliers de contributeurs internautes dans le monde entier». <= il nous réinvente youtube ou quoi ?
jun 22 07:33:12 <yodaz>	on dirait
jun 22 07:54:25 <neo_phryte>	salutations matinales
jun 22 07:54:26 *	kartooon (n=kartoon@unaffiliated/kartooon) a rejoint #debian-fr
jun 22 08:18:46 *	bradley_vier (n=barth@193.190.208.37) a rejoint #debian-fr
jun 22 08:34:13 *	yoan (n=yoan@LAubervilliers-153-51-26-127.w193-253.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 08:40:59 *	yoan est parti ()
jun 22 08:54:35 *	yoan (n=yoan@LAubervilliers-153-51-26-127.w193-253.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 09:27:25 *	ludoRA (n=Ludovic@mut38-5-82-246-189-159.fbx.proxad.net) a rejoint #debian-fr
jun 22 09:39:26 *	rev_jazZ (i=csegui@nat/ibm/x-d2e7a23450f9713b) a rejoint #debian-fr
