**** DÉBUT DU JOURNAL À Thu Aug  9 21:14:34 2012

août 09 21:14:34 *	Vous parlez maintenant sur #mediawiki
août 09 23:19:45 <ashley>	StevenW: re: http://www.mediawiki.org/w/index.php?title=Admin_tools_development%2FRoadmap&diff=570614&oldid=570564 , you might be interested in knowing that Phalanx (http://www.mediawiki.org/wiki/Extension:Phalanx) already supports blocking both registered users and IP addresses globally (but Phalanx is written for a bit different setup than what the WMF's is); tweaking it accordingly shouldn't be a huge issue, I hope...
août 09 23:19:59 *	yuvipanda est parti (Quit: sleep at home + sleep at college)
août 09 23:20:24 *	Bombo est parti (Ping timeout: 265 seconds)
août 09 23:20:33 <StevenW>	Awesome. Feel free to rm my addition if the plan is to refactor Phalanx and get it deployed for WMF use. :)
août 09 23:20:40 <ashley>	StevenW: I'm hoping to publish Phalanx's source code soon-ish and getting some folks in reviewing the code and maybe, just maybe we could roll it out on WMF sites one day...as biased as I am, I like it; it's a handy solution to many different problems, such as offensive page move summaries, spam content, etc.
août 09 23:21:09 <wikibugs>	(mod) EP: An error occurred while invoking the map callback - https://bugzilla.wikimedia.org/39207  +comment (Roan Kattouw)
août 09 23:21:52 *	Bombo (~bombo@dslb-084-060-211-063.pools.arcor-ip.net) a rejoint #mediawiki
août 09 23:22:03 <ashley>	StevenW: the UI screenshot (http://www.mediawiki.org/wiki/File:Phalanx_MediaWiki_extension_UI.png) gives you a general idea of what the extension is like; since the big plan is to eventually refactor all current ad hoc implementations into one implementation that does not suck, I figured we could do it sooner than later since a lot of it has already been built
août 09 23:22:48 *	DarTar est parti (Ping timeout: 240 seconds)
août 09 23:22:48 *	DarTar_clone s'appelle maintenant DarTar
août 09 23:24:45 *	ialex est parti (Quit: ialex)
août 09 23:24:54 *	ty (~ty@wikia/vstf/TyA) a rejoint #mediawiki
août 09 23:25:56 *	chrismcmahon est parti (Read error: Connection reset by peer)
août 09 23:26:02 <gerrit-wm>	New patchset: Adamw; "(bug 36798) sort country names in the UI language" [mediawiki/extensions/cldr] (master) - https://gerrit.wikimedia.org/r/18415
août 09 23:27:02 <gerrit-wm>	New review: Siebrand; "If its that hard to deploy, I'd even think there may be a fundamental flaw in the way it currently e..." [mediawiki/extensions/PageTriage] (master) - https://gerrit.wikimedia.org/r/18128
août 09 23:27:05 <gerrit-wm>	New review: Adamw; "Yikes!  Thanks for noticing that, pgehres" [mediawiki/extensions/cldr] (master) C: 0;  - https://gerrit.wikimedia.org/r/18415
août 09 23:27:15 *	henna est parti (Remote host closed the connection)
août 09 23:27:17 *	chrismcmahon (~chrismcma@wikimedia/Cmmcmahon) a rejoint #mediawiki
août 09 23:27:22 *	henna (~jeg@fuzzybeans.net) a rejoint #mediawiki
août 09 23:28:02 *	phyrex1an est parti (Ping timeout: 246 seconds)
août 09 23:28:47 <gerrit-wm>	New patchset: Trevor Parscal; "Added basic ve.dm.SurfaceFragment class" [mediawiki/extensions/VisualEditor] (master) - https://gerrit.wikimedia.org/r/17369
août 09 23:29:13 *	dungodung s'appelle maintenant dungodung|away
août 09 23:30:34 <wikibugs>	(mod) Make "Hide" Cookies notice independent - https://bugzilla.wikimedia.org/17108  +comment (Matt Walker)
août 09 23:30:54 <gerrit-wm>	New review: Krinkle; "See also inline comments in the previous patch versions." [mediawiki/core] (master); V: 0 C: -1;  - https://gerrit.wikimedia.org/r/17519
août 09 23:31:13 <gerrit-wm>	Change merged: Trevor Parscal; [mediawiki/extensions/VisualEditor] (master) - https://gerrit.wikimedia.org/r/18421
août 09 23:31:20 <wikibugs>	(NEW) Marking something for deletion should automatically review it - https://bugzilla.wikimedia.org/39208 enhancement; MediaWiki extensions: PageTriage; (okeyes)
août 09 23:31:23 <Danwe_WMDE>	just had a funny bug using jQuery.load() to load the content of another wiki page with parameter action=purge... The problem is, if the user is not logged in, I won't get the actual page but a page asking whether the page should really be purged. Any idea how to avoid this?
août 09 23:33:18 <wikibugs>	(NEW) "patrolled" pages do not highlight the "reviewed" button in the curation toolbar - https://bugzilla.wikimedia.org/39209 normal; MediaWiki extensions: PageTriage; (okeyes)
août 09 23:33:19 <gerrit-wm>	New patchset: Chughakshay16; "Util classes for the extension" [mediawiki/extensions/ConventionExtension] (master) - https://gerrit.wikimedia.org/r/14051
août 09 23:33:25 <wikibugs>	(mod) "patrolled" pages do not highlight the "reviewed" button in the curation toolbar - https://bugzilla.wikimedia.org/39209  normal->enhancement (Oliver Keyes)
août 09 23:33:29 <Krinkle>	Danwe_WMDE: Yes mw.user can fire before domready, and vica versa.
août 09 23:33:50 <gerrit-wm>	New review: Siebrand; "Why abbreviate chararacter to char?" [mediawiki/extensions/PageTriage] (master) - https://gerrit.wikimedia.org/r/18269
août 09 23:33:55 <Krinkle>	Danwe_WMDE: if you need both, start with mw.using
août 09 23:33:57 <Krinkle>	e.g. mw.using callback > domready > callback
août 09 23:33:57 <Krinkle>	not the other way around
août 09 23:33:58 <Krinkle>	there is no point in waiting for the document to be ready to start downloading the module
août 09 23:34:12 <gerrit-wm>	New patchset: Aude; "tweak wording for tags tooltip" [mediawiki/extensions/PageTriage] (master) - https://gerrit.wikimedia.org/r/18429
août 09 23:34:16 <wikibugs>	(mod) Add portal namespace at sewiki - https://bugzilla.wikimedia.org/39206  (jeblad)
août 09 23:35:05 *	rmoen (~Adium@wikimedia/Robmoen) a rejoint #mediawiki
août 09 23:35:32 *	AaronSchulz (~chatzilla@216.38.130.168) a rejoint #mediawiki
août 09 23:36:35 *	siebrand est parti (Quit: siebrand)
août 09 23:36:46 <gerrit-wm>	New review: Chughakshay16; "Creating title objects with Title::newFromId() and fetching page titles with getDBKey() calls." [mediawiki/extensions/ConventionExtension] (master); V: 0 C: 0;  - https://gerrit.wikimedia.org/r/14051
août 09 23:36:50 <wikibugs>	(NEW) more expressive edit summaries - https://bugzilla.wikimedia.org/39210 enhancement; MediaWiki extensions: PageTriage; (okeyes)
août 09 23:37:17 *	chrismcmahon (~chrismcma@wikimedia/Cmmcmahon) a quitté #mediawiki
août 09 23:37:39 *	siebrand (~siebrand@5353A6DC.cm-6-4c.dynamic.ziggo.nl) a rejoint #mediawiki
août 09 23:38:40 *	tfinc est parti (Quit: Leaving...)
août 09 23:39:20 *	chrismcmahon (~chrismcma@wikimedia/Cmmcmahon) a rejoint #mediawiki
août 09 23:39:56 <wikibugs>	(NEW) close and minimise icons should not appear together - https://bugzilla.wikimedia.org/39211 enhancement; MediaWiki extensions: PageTriage; (okeyes)
août 09 23:40:44 *	tfinc (~flyingcli@216.38.130.165) a rejoint #mediawiki
août 09 23:40:45 *	tfinc est parti (Changing host)
août 09 23:40:45 *	tfinc (~flyingcli@wikipedia/Tfinc) a rejoint #mediawiki
août 09 23:41:12 <wikibugs>	(NEW) CentralNotice banner paging needs to be aware of banner filtering - https://bugzilla.wikimedia.org/39212 minor; MediaWiki extensions: CentralNotice; (mwalker)
août 09 23:42:20 <wikibugs>	(mod) The fix of the "move" bug fixed it too well - https://bugzilla.wikimedia.org/36617  (bsitu)
août 09 23:44:39 *	kevindanko est parti (Remote host closed the connection)
août 09 23:44:58 <wikibugs>	(mod) Curation Toolbar Tag Wizard: Tag Index - https://bugzilla.wikimedia.org/38052  (bsitu)
août 09 23:45:06 <gerrit-wm>	New patchset: Siebrand; "Use Message class where possible." [mediawiki/extensions/ConfirmAccount] (master) - https://gerrit.wikimedia.org/r/17702
août 09 23:45:20 *	Zeph__5 (~Zeph@180.148.88.91.rev.sfr.net) a rejoint #mediawiki
août 09 23:46:02 <gerrit-wm>	Change merged: Daniel Werner; [mediawiki/extensions/StickToThatLanguage] (master) - https://gerrit.wikimedia.org/r/17948
août 09 23:46:41 <gerrit-wm>	New review: Siebrand; "Fixed in next ps. Thanks." [mediawiki/extensions/ConfirmAccount] (master) - https://gerrit.wikimedia.org/r/17702
août 09 23:46:42 <wikibugs>	(NEW) Block interface after "Get users" check should allow talk page/send email blocking - https://bugzilla.wikimedia.org/39213 normal; MediaWiki extensions: CheckUser; (marcin.cieslak)
août 09 23:47:01 *	James_F|Away (~Jdforrest@216.38.130.166) a rejoint #mediawiki
août 09 23:47:01 *	James_F|Away est parti (Changing host)
août 09 23:47:01 *	James_F|Away (~Jdforrest@wikimedia/JamesF) a rejoint #mediawiki
août 09 23:47:26 <gerrit-wm>	New patchset: Trevor Parscal; "Make use of new jshint options" [mediawiki/extensions/VisualEditor] (master) - https://gerrit.wikimedia.org/r/17930
août 09 23:48:02 *	awjr s'appelle maintenant awjr_postoffice
août 09 23:48:20 *	Zeph_5 est parti (Ping timeout: 246 seconds)
août 09 23:49:54 *	James_F|Busy est parti (Ping timeout: 246 seconds)
août 09 23:50:32 <gerrit-wm>	New patchset: Trevor Parscal; "Add ve.dm.BreakNode to represent <br>" [mediawiki/extensions/VisualEditor] (master) - https://gerrit.wikimedia.org/r/18195
août 09 23:50:42 <gerrit-wm>	Change merged: Trevor Parscal; [mediawiki/extensions/VisualEditor] (master) - https://gerrit.wikimedia.org/r/18195
août 09 23:50:52 *	K4-713 (~khorn@wikimedia/katiehorn) a rejoint #mediawiki
août 09 23:52:19 <wikibugs>	(mod) Copyedit the "showing" line - https://bugzilla.wikimedia.org/36621  (bsitu)
août 09 23:53:30 <gerrit-wm>	New patchset: Trevor Parscal; "Removing redundant overrides for canHaveSlug* methods" [mediawiki/extensions/VisualEditor] (master) - https://gerrit.wikimedia.org/r/18430
août 09 23:56:02 *	TrevorParscal (~tparscal@wikimedia/TrevorParscal) a rejoint #mediawiki
août 09 23:58:54 *	gwicke est parti (Quit: Bye!)
août 09 23:59:08 *	gwicke (~gabriel@wikimedia/gwicke) a rejoint #mediawiki
août 09 23:59:38 <gerrit-wm>	New patchset: Daniel Werner; "Lots of clean-up. Extension works with new MW versions now." [mediawiki/extensions/SemanticExpressiveness] (master) - https://gerrit.wikimedia.org/r/18431
août 09 23:59:55 *	Krinkle s'appelle maintenant SomebodyThatYouU
août 10 00:00:12 <gerrit-wm>	Change merged: Daniel Werner; [mediawiki/extensions/SemanticExpressiveness] (master) - https://gerrit.wikimedia.org/r/18431
août 10 00:00:32 *	Yaron est parti (Quit: Leaving.)
août 10 00:01:50 *	SomebodyThatYouU s'appelle maintenant Krinkle|detached
août 10 00:03:13 <wikibugs>	(mod) Mark as reviewed flyout text prompts - https://bugzilla.wikimedia.org/38938  (bsitu)
août 10 00:03:13 *	Krinkle|detached s'appelle maintenant Krinkle
août 10 00:05:02 *	Yaron (~Lee@cpe-68-175-122-145.nyc.res.rr.com) a rejoint #mediawiki
août 10 00:05:11 *	multichill est parti (Ping timeout: 272 seconds)
août 10 00:06:51 *	Hakisho est parti (Excess Flood)
août 10 00:07:54 *	awjr_postoffice s'appelle maintenant awjr
août 10 00:08:12 <gerrit-wm>	New patchset: Adamw; "FR #543 get rid of old opt-in fields" [mediawiki/extensions/DonationInterface] (master) - https://gerrit.wikimedia.org/r/18433
août 10 00:08:20 *	Hakisho (~Hakisho@unaffiliated/hakisho) a rejoint #mediawiki
août 10 00:12:20 Tcl interface unloaded
août 10 00:12:23 Python interface unloaded
**** FIN DU JOURNAL À Fri Aug 10 00:12:23 2012

